global_time_s,time_in_mission_s,actual_operating_hours,engine_id,mission_id,mission_type,phase,time_in_phase_s,telemetry_valid,altitude_m,target_altitude_m,aircraft_mass_kg,fuel_mass_kg,fuel_used_kg,refueled_at_sortie_start,sortie_start_fuel_kg,wind_u_mps,wind_accel_mps2,ground_speed_mps,ambient_T_C,ambient_P_kPa,air_density_kg_m3,airspeed_mps,flight_path_angle_deg,vertical_speed_mps,target_airspeed_mps,throttle_cmd,throttle_actual,prop_pitch_cmd,prop_pitch_actual,engine_power_command_kW,engine_bsfc_g_kWh,actual_bsfc_g_kWh,desired_thrust_N,thrust_equilibrium_error_N,settled_state,drag_N,excess_thrust_N,shaft_torque_error_Nm,prop_advance_ratio,prop_Cp,prop_Ct,prop_efficiency,prop_power_kW,rpm,cht_cyl_avg_C,egt_cyl_avg_C,oil_pressure_kPa,oil_temp_C,fuel_flow_g_s,fuel_temp_C,boost_pressure_kPa,manifold_pressure_kPa,vib_rms_g,vib_crest_factor,vib_kurtosis,vib_1x_hz,vib_2x_hz,vib_firing_hz,vib_bpfo_hz,vib_bpfi_hz,vib_bsf_hz,vib_psd_peak,vib_psd_peak_freq,vib_1x_rms,vib_2x_rms,vib_fire_order_rms,vib_spectral_centroid,battery_voltage_V,battery_voltage_raw_V,coolant_temp_C,rail_pressure_bar,SOI_deg_bTDC,inj_duration_ms,altitude_quantized_m,rpm_quantized,rail_pressure_quantized_bar,sensor_drift_flag_rpm,sensor_drift_flag_rail,sensor_drift_flag_boost,fadec_mode,true_brake_power_kW,true_fuel_power_kW,true_indicated_power_kW,true_friction_power_kW,true_exhaust_heat_kW,true_coolant_heat_kW,true_oil_heat_kW,true_direct_heat_loss_kW,true_energy_closure_error_W,true_rpm,true_indicated_torque_Nm,true_prop_load_torque_Nm,true_prop_thrust_N,true_bearing_wear,true_thermal_fatigue,true_turbo_degradation,true_injector_wear,true_lubrication_degradation,true_electrical_degradation,true_overall_health_index,simulated_rul_hours,health_state,fault_type,fault_domain,fault_nature,fault_severity,severity_category,fault_active,fault_misfire_active,fault_injector_active,fault_turbo_active,fault_lubrication_active,fault_sensor_active,fault_overheating_active,fault_electrical_active,fault_bearing_active,failure_flag,failure_mode
0.0,0.0,0.0,fault_eng_004,compound_bearing_fault_electrical_fault_004,standard_recon,takeoff,0.0,1,0.0,50.0,1799.9973295073012,249.99732950730123,0.002670492698757993,1,250.0,-3.6888014670198306,-0.9617388317270432,41.31119853298017,-4.93709249136549,101.325,1.3160345277383163,45.0,0.0,0.0,42.46609076875098,0.8463741460250934,0.8467141508057423,0.857582764016729,0.45500000000000007,57.019620156088656,207.69386099374677,226.99125574173038,333.17121971887514,636.0083612378642,transient,1003.969898635866,-47.120015148941974,104.85593268327821,0.6541978457979853,0.049085881181453433,0.057045332847126866,0.7602783725826237,57.24030986109878,2503.2234675844393,73.78708715051594,418.54907929174897,259.1734397041784,56.404609137582916,5.2854371513345315,25.27829434996307,129.89645826849744,233.21926099611244,0.021640671812893315,1.4218546896173037,3.182333773054395,41.688806295991725,83.37761259198345,83.37761259198345,103.89947333143506,271.2997833324905,37.419158905182286,0.000572644425443848,42.23381447137901,0.014584257099061238,0.016215879700198377,0.009140893185195583,51.4920108737687,27.62788044701332,27.666271260680755,59.134595601472135,1429.2091962335164,10.556375152557216,1.3354995479979315,0.0,2502.978515625,1429.19921875,0.0,0.0,0.0,nominal,84.70611508019746,228.5941750136842,89.52817260413026,4.822057523932799,49.476623933357374,68.17945598878181,8.189680002516493,18.042300008831045,2.9103830456733704e-11,2501.3283777595034,341.79081825381326,218.52576429806632,967.0793250515841,0.12780189913157539,0.0733443060737917,0.05425350165670596,0.0871815108126162,0.07327736352796094,0.06592200166992984,91.2576617120274,,pristine,bearing_fault+electrical_fault,mechanical_tribology,mechanical_tribology_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
0.5,0.5,0.0001388888888888889,fault_eng_004,compound_bearing_fault_electrical_fault_004,standard_recon,takeoff,0.5,1,0.0,50.0,1799.996505775323,249.99650577532296,0.003494224677024824,0,250.0,-4.169670882883352,-0.2445773929311108,41.299963660680625,-4.936874325209033,101.325,1.3160334572679808,45.46963454356398,1.8398350559641707,1.4598326837939666,42.471089149733075,0.8462675166126438,0.8499652837087983,0.8573615500846505,0.23000000000000007,39.21880181595997,207.37221062253673,358.5132082177883,306.9205145678195,413.59794377559183,transient,840.0259450881176,-100.12491888863886,-72.67719668508721,0.5548894734881322,0.019894864373921437,0.02992852169099248,0.83473912318607,39.22118709701573,2944.1287079097524,74.13234276760335,196.85518600622967,294.6251966410696,56.44111132924891,1.8990388012230999,25.3108084738031,140.25248206175644,242.4729360003824,0.02421094531835879,1.4214384864918257,3.2041975240418927,49.66278076171874,99.32556152343749,99.32556152343749,123.77271559855667,323.19231125691203,44.576461887676025,0.0005930684825206,50.41917570226755,0.01460240013017637,0.01577152703914708,0.009685180242161424,60.94617284430966,27.684539894173284,27.585532546890914,58.42764052347829,1428.6674720709427,10.757199084536554,0.3594676635713694,0.0,2943.896484375,1428.7109375,0.0,0.0,0.0,nominal,16.542961619194568,70.51145733964073,22.680110966025783,6.137149346831212,18.557105067284787,25.572661127337135,3.0717264083197477,6.767003117504479,-1.4551915228366852e-11,2979.7668457031245,72.68323913303925,125.69263550449013,720.0290843840494,0.1278020730202477,0.07334523367948594,0.05425381365075804,0.08718173720142695,0.07327763747669667,0.06592210555931283,91.25762628441797,,pristine,bearing_fault+electrical_fault,mechanical_tribology,mechanical_tribology_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
1.0,1.0,0.0002777777777777778,fault_eng_004,compound_bearing_fault_electrical_fault_004,standard_recon,takeoff,1.0,1,0.7299163418969833,50.0,1799.9957030871958,249.99570308719578,0.004296912804206963,0,250.0,-3.9333788599509414,0.314045038943072,41.47103905121595,-4.941400615275256,101.31558014988092,1.3159333173146632,45.404417911166895,2.0046444483876846,1.5882696096041682,42.463675419600456,0.8483095237472564,0.8425411462056157,0.8587776585615376,0.12,15.735624526205667,207.3907164660451,362.3579773305669,285.3667815533149,7.572048008802767,transient,819.123099791986,-508.07739957321894,-0.20344870345670785,0.5539901971698449,0.008118526020604646,0.012242681217288756,0.8354133945299871,16.012791736801542,2974.475461954008,74.30731517162212,139.35463773264863,295.8086358018569,56.19662613110307,1.5897218606629802,25.168660753832434,148.8746391448515,250.79079636804917,0.023173770438450206,1.4050689789953195,3.1440840134959136,49.67205047607422,99.34410095214844,99.34410095214844,123.79581816552941,323.2526361191386,44.584782224603174,0.0005951205170476627,50.43342639561469,0.015251241371394266,0.01551215350002757,0.009094143944714583,61.02290840118319,27.685133550947217,27.67084282261161,56.93110737650464,1431.181672193561,10.773527763745172,0.3494403605328406,0.0,2974.658203125,1431.15234375,0.0,0.0,0.0,nominal,15.949295661398102,68.71010368679111,22.098729094053887,6.149433432655785,18.1461503250135,24.992863468989327,3.0029885509946443,6.61880568039555,-1.4551915228366852e-11,2980.323028564453,70.80686095415908,51.30682009675798,294.6255302053559,0.12780224573552162,0.07334608321669518,0.054254134965827684,0.08718196175600772,0.07327790750977053,0.06592220862607043,91.25759225445817,,pristine,bearing_fault+electrical_fault,mechanical_tribology,mechanical_tribology_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
1.5,1.5,0.0004166666666666667,fault_eng_004,compound_bearing_fault_electrical_fault_004,standard_recon,takeoff,1.5,1,1.5240511466990674,50.0,1799.994896800784,249.99489680078418,0.005103199215801762,0,250.0,-3.85562584394028,0.16492817376498392,41.076411833900856,-4.9463443253508785,101.30533235733294,1.3158244679894668,44.93203767784114,2.015665628866955,1.580383132311847,42.45272444475816,0.8444471350053542,0.853296463440783,0.8553075369288505,0.12,16.63242486291535,207.37199356208544,361.92043303535746,293.90127035005514,0.13465347784836013,transient,820.8045194598859,-508.5592824586651,0.37482924307647636,0.5482565550163928,0.00807508727921394,0.012330867693336935,0.8372019779048051,15.923184088885005,2978.000336310388,74.47613340020715,121.70343475470997,298.9342605470024,55.64444193033198,1.7206138623810918,25.055388592149693,154.94648049627094,257.9943111981654,0.02390509830294139,1.4643284003346193,3.518499482192516,49.669334068894386,99.33866813778877,99.33866813778877,123.78904816416899,323.2349584558805,44.58234402401783,0.0005928204320539203,50.44769420178982,0.015235141070874699,0.015581433080133603,0.00850229326756943,60.940955801703765,27.66724401803934,27.650530471796817,55.19719302054722,1426.700480533122,10.82642077811782,0.3084145045390059,2.9296875,2977.734375,1426.7578125,0.0,0.0,0.0,nominal,16.040161410050622,69.01811683251478,22.199795476324077,6.159634066273457,18.212649487961535,25.110049838610422,3.0153480733975373,6.639908022494651,0.0,2980.160044133663,71.13457935202636,51.02249718091856,296.69077795532917,0.12780241862827713,0.073346886181866,0.054254464338368544,0.08718218645420255,0.07327817813984451,0.06592231181893377,91.25755892443567,,pristine,bearing_fault+electrical_fault,mechanical_tribology,mechanical_tribology_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
2.0,2.0,0.0005555555555555556,fault_eng_004,compound_bearing_fault_electrical_fault_004,standard_recon,takeoff,2.0,1,2.3142427128549907,50.0,1799.99401983572,249.99401983572017,0.005980164279806233,0,250.0,-3.7684506861859575,0.24134376573909222,40.766634524491,-4.951262404376166,101.29513629947094,1.315716160890522,44.53508521067696,2.027031713149749,1.5752504007709762,42.46835767566097,0.8420792265763104,0.8400343915735413,0.8532043833003554,0.12934901158878187,17.55021492069399,207.32946448492456,351.0643918559405,332.62744727771536,0.3199449246284871,transient,806.4675901295888,-472.1011551576518,0.7664306097709712,0.5437394461252418,0.00901680611676811,0.013831584605321572,0.8340844923288251,17.7466821239673,2981.0609834686707,74.80011603136109,124.75017367104451,302.26710025334114,55.3581602126067,1.8449144018957513,24.966272741440132,159.52383196781597,262.27520600099587,0.02394217332245423,1.5229401681865475,3.052816971219265,49.63951195022674,99.27902390045348,99.27902390045348,123.71472359845232,323.0408839535883,44.55557620079471,0.0005917343374303456,50.342794162214844,0.014846868969561413,0.016148275465484016,0.009504519666935139,60.86636001472192,27.635290715042768,27.561712472542133,53.449449290748106,1425.4138481188827,10.877703882365783,0.36721781998067426,2.9296875,2980.810546875,1425.29296875,0.0,0.0,0.0,nominal,17.985727425819967,75.06820947878278,24.150769164468343,6.165041738648377,19.618288329947074,27.064940645644946,3.248965701928063,7.150287375442734,0.0,2978.3707170136045,77.43255606240712,56.89967674021563,332.37238190669444,0.12780259546318345,0.07334770092730558,0.0542548047748097,0.08718241736210604,0.07327846174997339,0.0659224176954502,91.25752477425694,,pristine,bearing_fault+electrical_fault,mechanical_tribology,mechanical_tribology_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
2.5,2.5,0.0006944444444444445,fault_eng_004,compound_bearing_fault_electrical_fault_004,standard_recon,takeoff,2.5,1,3.1018679132404787,50.0,1799.9930499601826,249.99304996018267,0.006950039817290768,0,250.0,-3.614282078201188,0.29230856096032953,40.495721794382185,-4.95616380202506,101.28497419965944,1.3156082090769652,44.11000387258337,2.034833839383379,1.5662176589560224,42.459697842258585,0.8380059632790509,0.8220287976930746,0.8497775355737172,0.14451474283846388,20.44229249362447,207.268764793958,339.82993450849915,386.8962183683889,0.49010142470370965,transient,793.9858454596222,-412.45650417541503,-0.5622238584471972,0.5389815941469833,0.010555779937412841,0.016270965690743808,0.8308008577580657,20.72403298096343,2977.8821048642176,74.97589941536681,134.1689034162021,301.91205981184385,54.93488341121031,1.9580781743464464,25.032425423307043,163.27265057466596,265.8366975151698,0.023809530722709665,1.465085166174275,3.102216809118962,49.59971911965369,99.19943823930738,99.19943823930738,123.6155493954408,322.78192268144244,44.51985883724326,0.0005892609723062741,50.3709387509514,0.01579303713632485,0.015854822852338777,0.00904832141983298,61.12439249049192,27.61863754032202,27.57206285101033,51.662411247402545,1419.424904822466,10.738623887547346,0.4129531644581795,2.9296875,2977.734375,1419.43359375,0.0,0.0,0.0,nominal,20.548819161526808,83.02134600867613,26.717253795290407,6.168434633763599,21.46057732417716,29.63837509435023,3.5557512427363496,7.817823185885585,0.0,2975.9831471792213,85.72998159734051,66.49901145131375,390.33196248464725,0.12780277785137747,0.0733485494888018,0.054255156457782464,0.08718265656859175,0.07327876299972123,0.06592252706376929,91.25748924518383,,pristine,bearing_fault+electrical_fault,mechanical_tribology,mechanical_tribology_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
3.0,3.0,0.0008333333333333334,fault_eng_004,compound_bearing_fault_electrical_fault_004,standard_recon,takeoff,3.0,1,3.88497674271849,50.0,1799.991937956639,249.9919379566391,0.008062043360856497,0,250.0,-3.476142125225628,0.13644630492924703,40.19976272030918,-4.961035843264597,101.2748712060367,1.3155008770752803,43.67590484553481,2.0429450386216805,1.556983226059492,42.46178126935942,0.8367476930567342,0.8379467078397003,0.8487132689526309,0.16500195568428172,25.146217052644015,207.19804708563296,327.12817875490146,465.0496868195376,0.8683070786708527,transient,795.9885930191499,-324.21236701244266,-0.8360885778925962,0.5343153614099662,0.012645108828306526,0.0195855213309698,0.8275804542649566,24.735138964798047,2974.552983225688,75.15798502732646,147.5477678524645,305.68515626240594,54.446293824567775,2.2166703250059996,24.97894595901062,165.54710819671175,268.2813689879125,0.02411264246335247,1.4359848893585554,3.117640469791536,49.54049101466926,99.08098202933851,99.08098202933851,123.46793737530739,322.39648175671596,44.466696704071836,0.0005893226178026222,50.331206601728695,0.015377808173340456,0.015483045439252037,0.008823756563314567,60.8756236500162,27.66484351408192,27.57912923780561,49.87775454933619,1415.7451586478483,10.699391416794706,0.45897832278881057,2.9296875,2974.658203125,1415.52734375,0.0,0.0,0.0,nominal,24.474887929700508,95.1875033292264,30.64298310644303,6.1680951767425185,24.287655486075483,33.55388696219912,4.024752877131856,8.846320074119431,0.0,2972.4294608801556,98.44436606467515,79.46468744419325,468.6867418818269,0.1278029694885356,0.07334947381384657,0.05425552233945687,0.0871829090912245,0.07327909233854249,0.06592264169843885,91.25745117153498,,pristine,bearing_fault+electrical_fault,mechanical_tribology,mechanical_tribology_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
3.5,3.5,0.0009722222222222222,fault_eng_004,compound_bearing_fault_electrical_fault_004,standard_recon,takeoff,3.5,1,4.663468355748236,50.0,1799.9906654945921,249.99066549459215,0.009334505407818536,0,250.0,-3.477835773271941,0.0007581329015255989,39.863911958288334,-4.965877872598867,101.26482860515512,1.315394178451265,43.341747731560275,2.0503793320839585,1.5506911351474244,42.435810765999285,0.8365557432150496,0.8416062123644036,0.8484446088491078,0.18675675803342678,29.195600233152152,207.12382773395296,316.860051059817,548.186692971637,-0.8654645608366991,transient,791.763634439659,-240.8072818031389,-0.4882967221708867,0.5309390868378072,0.014920205853896107,0.02319080456542221,0.8252503162202722,29.065900562405808,2972.782617978381,75.32269095291656,166.7818403101774,303.2203460385068,54.01570745709883,2.652419148469019,24.92158083983201,166.87235898848226,269.1284401087395,0.022957338158185375,1.4043462757387362,3.1643637503803985,49.47408572678632,98.94817145357264,98.94817145357264,123.30243792712282,321.96433361395407,44.40709245438923,0.0005890883069281332,50.28388111290289,0.01621391871387081,0.015904529637242013,0.009178400117660529,60.71230875719115,27.689310542059353,27.676465341083954,48.23098638800404,1419.2322591539582,10.830892609943046,0.5303410712844207,5.859375,2972.607421875,1419.43359375,0.0,0.0,0.0,nominal,28.914111158800274,108.92275121995051,35.08012469777832,6.16601353897804,27.479945912955813,37.9660241914484,4.553855330131579,10.008814626614454,-1.4551915228366852e-11,2968.445143607179,112.85049875936667,93.50312758624219,553.4304656774597,0.12780317258432974,0.07335048798672562,0.05425590332824531,0.08718317725409964,0.07327945482087597,0.06592276218710233,91.25741010357652,,pristine,bearing_fault+electrical_fault,mechanical_tribology,mechanical_tribology_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
4.0,4.0,0.0011111111111111111,fault_eng_004,compound_bearing_fault_electrical_fault_004,standard_recon,takeoff,4.0,1,5.438813923321948,50.0,1799.989231278014,249.9892312780138,0.010768721986180377,0,250.0,-3.4753839923241023,0.27276377864014867,39.62368884972763,-4.970699452639735,101.25482740646665,1.3152879134900628,43.09907284205173,2.0547771030109647,1.5453146283831365,42.41472963085274,0.8353453778006527,0.8328483222290628,0.8472719684716596,0.20988503959594285,33.88677091661089,207.043978540264,308.9284834123418,639.2440253738542,2.232563971648574,transient,788.5241222920072,-162.5814121231471,-0.9126544485527575,0.5286882934704062,0.017376461793583667,0.027072546159967063,0.8236969297453236,33.709690724305126,2969.5473646265896,75.69386567753793,186.62641422721637,308.2196304702169,53.49651110876093,2.904562938086169,24.86019372962304,168.4520668343971,271.2526049671321,0.022932375108275223,1.445460017223973,3.25754213648069,49.40652276569882,98.81304553139763,98.81304553139763,123.13405325273654,321.5246516385528,44.34644909705518,0.0005884014751592774,50.221039869930586,0.014885135691100126,0.01562986169770379,0.009034098850529254,60.644977216965756,27.648260560666692,27.702362410622733,46.66034093995316,1416.4973160635298,10.737400623420493,0.5954033305750126,5.859375,2969.53125,1416.50390625,0.0,0.0,0.0,nominal,33.42637509543645,122.76893910777356,39.58956137843982,6.163186283003366,30.681470759367095,42.40276494748689,5.085114967592469,11.173213337890653,0.0,2964.391365941929,127.53122534243916,108.59019434164563,644.2497928907353,0.12780338833199292,0.07335159159673303,0.054256299007522525,0.08718346171624504,0.07327985232500761,0.06592288853437529,91.25736598438192,,pristine,bearing_fault+electrical_fault,mechanical_tribology,mechanical_tribology_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
4.5,4.5,0.00125,fault_eng_004,compound_bearing_fault_electrical_fault_004,standard_recon,takeoff,4.5,1,6.211471237513517,50.0,1799.9876184273276,249.98761842732762,0.012381572672366371,0,250.0,-3.2050719946317923,0.5306093917649819,39.54088529931742,-4.975503559035872,101.24486169569576,1.3151820200054607,42.74595729394921,2.0537975466516625,1.5319233560596373,42.40599236726705,0.8374590104670852,0.8370473480844001,0.8487520583730744,0.2327793707982388,37.59771567865131,206.97306079512094,300.9529769173865,733.8615486429214,-2.7116332466454196,transient,790.0649961549549,-59.50225059870137,0.8062001654689652,0.5251275629296849,0.01985005454349558,0.031043216556491605,0.8212394892965453,38.33594346733975,2957.4293127292544,76.17407918705584,207.48502415248095,311.2471953851616,53.00209185258615,3.2897882598367345,24.861650689149826,169.8739703338179,271.75542770167095,0.022400713966708372,1.492927765795138,3.324020003624386,49.333995419472146,98.66799083894429,98.66799083894429,122.95329602448743,321.0526627507619,44.28134979260021,0.0005886322635248955,50.04832973928628,0.015907115589559852,0.01586250304686508,0.008601591786020378,60.8109045991562,27.634722893904645,27.621188068191092,45.22440578276871,1420.310380127355,10.691754340364557,0.7035382268561202,5.859375,2957.2265625,1420.41015625,0.0,0.0,0.0,nominal,38.58584506950022,138.06001873752103,44.744793937581875,6.158948868081653,34.16921555896851,47.19659785240304,5.661776598435616,12.446583658213632,0.0,2960.039725168329,144.3498559612633,123.67445306305697,736.5138747115116,0.12780361970554988,0.07335279733714029,0.05425671043117386,0.0871837657055291,0.07328029134456318,0.06592302148463917,91.25731832887037,,pristine,bearing_fault+electrical_fault,mechanical_tribology,mechanical_tribology_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
