global_time_s,time_in_mission_s,actual_operating_hours,engine_id,mission_id,mission_type,phase,time_in_phase_s,telemetry_valid,altitude_m,target_altitude_m,aircraft_mass_kg,fuel_mass_kg,fuel_used_kg,refueled_at_sortie_start,sortie_start_fuel_kg,wind_u_mps,wind_accel_mps2,ground_speed_mps,ambient_T_C,ambient_P_kPa,air_density_kg_m3,airspeed_mps,flight_path_angle_deg,vertical_speed_mps,target_airspeed_mps,throttle_cmd,throttle_actual,prop_pitch_cmd,prop_pitch_actual,engine_power_command_kW,engine_bsfc_g_kWh,actual_bsfc_g_kWh,desired_thrust_N,thrust_equilibrium_error_N,settled_state,drag_N,excess_thrust_N,shaft_torque_error_Nm,prop_advance_ratio,prop_Cp,prop_Ct,prop_efficiency,prop_power_kW,rpm,cht_cyl_avg_C,egt_cyl_avg_C,oil_pressure_kPa,oil_temp_C,fuel_flow_g_s,fuel_temp_C,boost_pressure_kPa,manifold_pressure_kPa,vib_rms_g,vib_crest_factor,vib_kurtosis,vib_1x_hz,vib_2x_hz,vib_firing_hz,vib_bpfo_hz,vib_bpfi_hz,vib_bsf_hz,vib_psd_peak,vib_psd_peak_freq,vib_1x_rms,vib_2x_rms,vib_fire_order_rms,vib_spectral_centroid,battery_voltage_V,battery_voltage_raw_V,coolant_temp_C,rail_pressure_bar,SOI_deg_bTDC,inj_duration_ms,altitude_quantized_m,rpm_quantized,rail_pressure_quantized_bar,sensor_drift_flag_rpm,sensor_drift_flag_rail,sensor_drift_flag_boost,fadec_mode,true_brake_power_kW,true_fuel_power_kW,true_indicated_power_kW,true_friction_power_kW,true_exhaust_heat_kW,true_coolant_heat_kW,true_oil_heat_kW,true_direct_heat_loss_kW,true_energy_closure_error_W,true_rpm,true_indicated_torque_Nm,true_prop_load_torque_Nm,true_prop_thrust_N,true_bearing_wear,true_thermal_fatigue,true_turbo_degradation,true_injector_wear,true_lubrication_degradation,true_electrical_degradation,true_overall_health_index,simulated_rul_hours,health_state,fault_type,fault_domain,fault_nature,fault_severity,severity_category,fault_active,fault_misfire_active,fault_injector_active,fault_turbo_active,fault_lubrication_active,fault_sensor_active,fault_overheating_active,fault_electrical_active,fault_bearing_active,failure_flag,failure_mode
0.0,0.0,0.0,fault_eng_001,misfire_001,standard_recon,takeoff,0.0,1,0.0,50.0,1799.9973467983725,249.9973467983725,0.002653201627512858,1,250.0,0.9110315848916031,-0.9680651006569123,45.9110315848916,-5.51149755071242,101.325,1.318858997626207,45.0,0.0,0.0,41.567537779229994,0.8234922327858284,0.8202270223341903,0.8423281551905523,0.45500000000000007,58.912275300207824,206.95516554048658,235.35713559193317,30.492003695495978,968.0033437795643,transient,990.4715171652881,10.644081298891452,84.32943953458889,0.6484682715147255,0.04907321077197814,0.05785960671331101,0.7645743689004225,58.88193526430293,2519.822387752593,74.6525406476758,430.01505298717444,208.2830606547415,57.14271882651906,5.210185182840426,24.818964180604574,118.89022143494412,219.880763037671,0.026592388214582825,1.5494491072291734,3.5352720636510546,42.05714985718921,84.11429971437842,84.11429971437842,106.42088427529664,314.15061429659545,32.18815733852203,0.0008715380500124981,43.68247954191988,0.020373839789848764,0.01775260023900205,0.008987803409292786,50.608998486835624,25.974118250702574,25.91298481141071,58.55419178612531,1374.36570975745,10.435982535063847,1.3284598547520827,0.0,2519.384765625,1374.51171875,0.0,0.0,0.0,nominal,81.16623135324788,227.11405931510066,86.15574443107543,4.989513077827539,50.05130277691629,68.94107238899048,8.755062918204295,18.20038987774172,-2.9103830456733704e-11,2523.4289914313526,326.0352317864867,222.82420677465066,1000.4359665408875,0.3325084005427375,0.1564788718268565,0.13486676311646215,0.19209342296450985,0.22050747517899597,0.19339153171740095,77.5108756302702,,healthy,misfire,combustion,mechanical_combustion_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
0.5,0.5,0.0001388888888888889,fault_eng_001,misfire_001,standard_recon,takeoff,0.5,1,0.0,50.0,1799.9965030635688,249.99650306356875,0.003496936431253825,0,250.0,0.4269990345631469,-0.6769002842789336,45.91385257272543,-5.511279384556019,101.325,1.3188579225560613,45.486853538162286,1.6970039555194159,1.347046598962546,41.58364892770758,0.8222944165538373,0.8264014316629854,0.8412803960110513,0.23000000000000007,39.091832994320136,207.25595949034516,375.75477658635526,24.635752659649643,693.0821287087482,transient,825.0110928933174,-109.00573351109297,-74.08676197468242,0.5552838644204793,0.019900597316205738,0.02990528516982265,0.8344434115137236,39.277563619160254,2942.174867290854,74.65758958351361,210.1348479568402,232.38804039790506,56.7923695714737,1.7673981008723954,24.8961551859824,125.29926304026785,225.04636189351498,0.02758217199208782,1.5149883909679804,3.514559134511037,49.64630126953125,99.2926025390625,99.2926025390625,125.62437778218008,370.8386349131324,37.996463430490245,0.000898735407172475,51.637716591458044,0.020673095075899817,0.01837885519180436,0.008623367373226927,59.17354556752518,25.854853077012855,25.95377149296216,57.685347156052565,1370.6730258866874,10.642117229496879,0.38444933904434836,0.0,2941.845703125,1370.60546875,0.0,0.0,0.0,nominal,16.167167965565017,72.22369920022678,22.433889382822123,6.266721417257105,19.22132358857067,26.4840071122372,3.362698231018568,6.988502302835321,0.0,2978.778076171875,71.91803410829687,125.91508818869906,720.5357511664797,0.33250857660482186,0.15647967813064717,0.134866985393032,0.192093647996701,0.22050771479205236,0.1933916160643142,77.51084362823522,,healthy,misfire,combustion,mechanical_combustion_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
1.0,1.0,0.0002777777777777778,fault_eng_001,misfire_001,standard_recon,takeoff,1.0,1,0.673523299481273,50.0,1799.9956670958084,249.99566709580841,0.004332904191589513,0,250.0,0.2341313006126695,0.061619747115335244,45.88433834083718,-5.515439119846462,101.3162892441414,1.3187650390609005,45.650207040224515,1.8496015410062452,1.473407462366683,41.60092942245378,0.820357123331297,0.8147351349631405,0.8396371148624173,0.12,16.18035000256149,207.2509197973895,377.35550956670187,21.599251825291415,270.0514542363986,transient,808.6727031294217,-491.0411462911628,-0.39474795698921383,0.5572491115329558,0.008143215935748441,0.0121723901935373,0.8329698824273774,16.073533714397684,2973.6699795487516,74.69689731762114,155.70404568589942,235.47545655437443,56.50621631788832,1.5773195457041174,24.943842782868842,130.7323149104095,230.11212816477752,0.02594509840183307,1.5995974457659998,3.243773467039477,49.64887619018555,99.2977523803711,99.2977523803711,125.6308933290942,370.8578685727612,37.998434128729095,0.0008976695903898232,51.68860602226522,0.02095305987679114,0.017577828305335223,0.009406271697370369,59.52903499035287,26.00255372831196,25.906079002072865,56.42224498313383,1366.8290644231508,10.545123046132492,0.3713851014362812,0.0,2973.6328125,1366.69921875,0.0,0.0,0.0,nominal,15.95039086968208,71.55884028473484,22.227911619583498,6.2775207499014165,19.063370822468222,26.279851009966958,3.3358190132609082,6.929408569356676,0.0,2978.932571411133,71.25401983551463,51.52548335235671,293.2904439289149,0.33250875223374615,0.15648042575527288,0.13486721222522868,0.19209387228229463,0.22050795314671623,0.1933917001658393,77.51081268546234,,healthy,misfire,combustion,mechanical_combustion_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
1.5,1.5,0.0004166666666666667,fault_eng_001,misfire_001,standard_recon,takeoff,1.5,1,1.4102270306646145,50.0,1799.994826547115,249.99482654711514,0.005173452884875067,0,250.0,0.48861878167848216,-0.27180197129216244,45.80482018948695,-5.520009527943557,101.30676207758083,1.3186635493113499,45.31620140780847,1.8525005361374003,1.4649187543048077,41.60349004486377,0.8182522654372981,0.8221600968408335,0.8378915850562749,0.12,16.317404262606097,207.2393126068613,376.74911971351344,25.187917851195948,275.6701847567966,transient,810.6235524770248,-523.160343750395,0.17445141899825956,0.5532016891226701,0.00811255219171386,0.012259780086225797,0.8360046125681431,16.009191378874366,2976.06248370572,74.84545203209102,141.97467558756352,234.54672109123428,56.037276471950115,1.63971212153183,24.88582788117419,134.21089807975684,234.25043081774078,0.027866257588194537,1.4335211842850957,3.313261804290106,49.64620504528284,99.29241009056568,99.29241009056568,125.6241342975493,370.83791615527906,37.996389785907624,0.0008969123352633447,51.613130786105735,0.02100161278883295,0.017970163356797533,0.009795786935274043,59.32666535350816,26.015279316976475,25.97723673610868,54.829385821502726,1367.769552020944,10.667276666379296,0.3449967224654171,0.0,2975.68359375,1367.67578125,0.0,0.0,0.0,nominal,16.063609110110193,71.95096814524344,22.350965931496717,6.287356821386525,19.154279626483522,26.41989447373374,3.3525502872085022,6.960634647707488,-1.4551915228366852e-11,2978.7723027169704,71.65233893772204,51.32198806591573,295.34156483643295,0.3325089280878671,0.15648113303559108,0.13486744299755393,0.1920940968385496,0.220508192158083,0.19339178439556692,77.5107824025437,,healthy,misfire,combustion,mechanical_combustion_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
2.0,2.0,0.0005555555555555556,fault_eng_001,misfire_001,standard_recon,takeoff,2.0,1,2.1426864078170182,50.0,1799.9939934024305,249.99399340243065,0.006006597569364726,0,250.0,-0.037670670679492924,-0.5425379284944909,45.11236892427558,-5.524552347740382,101.29729053436672,1.3185626442065952,45.150039594955075,1.8578717546706138,1.4637776998507483,41.596815693912944,0.8167356478402142,0.8198291496687113,0.8366462876753571,0.12,16.679546668196675,207.23600987752837,378.3106544464503,15.368572513102729,279.776954453436,transient,812.6067020537722,-506.40588796858145,-0.3952997284032591,0.5511446014335138,0.008096967455562603,0.01230455820302476,0.8375470031020827,15.979705937659391,2974.3418793703086,75.15095740604102,134.20033520249294,235.76461341642155,55.62832956966177,1.6263067394494017,24.931566194818583,137.85388628200468,237.32309646396402,0.02659238406322888,1.4823467436918811,3.526707658605011,49.648785979952656,99.29757195990531,99.29757195990531,125.63066506225285,370.8571947372737,37.99836508693288,0.0008962098221556034,51.660276581224394,0.02094615263790152,0.018061611690009374,0.009128336308498913,59.533103220726446,26.03779949114024,26.069600373708326,53.195603969725695,1364.1825041052014,10.63104471640845,0.34301835035442624,2.9296875,2974.658203125,1364.2578125,0.0,0.0,0.0,nominal,15.856391190205429,71.31718499231481,22.154437695979585,6.298046505774157,19.00471837288184,26.224130032759014,3.32696179558664,6.904983600881889,0.0,2978.9271587971593,71.01862011611536,51.22480114942435,296.42841819422546,0.33250910352938223,0.1564817942026354,0.13486767620495044,0.1920943206973741,0.22050842996840228,0.19339186839058245,77.51075297876177,,healthy,misfire,combustion,mechanical_combustion_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
2.5,2.5,0.0006944444444444445,fault_eng_001,misfire_001,standard_recon,takeoff,2.5,1,2.8745752577423924,50.0,1799.9931545346,249.9931545346001,0.00684546539989132,0,250.0,-0.053919146816008734,0.2157886808354822,45.06568812638375,-5.529091459111328,101.28782710039006,1.3184618229640048,45.119607273199755,1.8584539731028742,1.4632493225366285,41.59841947203653,0.8160105299539768,0.8237706967511972,0.8360272889826144,0.12,15.71594393519823,207.23004000891962,377.50240924135187,18.198753007801624,281.77054487870674,transient,812.0762008371051,-517.1870238512976,0.09200914200044252,0.5508027470632888,0.00809437752699991,0.012312023546755875,0.8378033232129855,15.970795306904558,2977.9170100965825,75.11341070935804,134.24163936841472,239.57564609633363,55.148812792543396,1.6737001734910928,24.785137124206642,139.60802691975937,239.87875345310363,0.02805112532269921,1.4658709474702674,3.3063230612355343,49.64611501124182,99.29223002248364,99.29223002248364,125.62390647654162,370.8372436358765,37.99632087895866,0.0008960878374057697,51.567735040001054,0.020958069270833175,0.017837831980165697,0.008996920668288106,59.426109939974786,26.007048680551264,26.009153724083873,51.61148595238791,1367.7472756180116,10.551745547130306,0.3811394154009052,2.9296875,2977.734375,1367.67578125,0.0,0.0,0.0,nominal,15.999496246737777,71.80708629307645,22.307264579883956,6.3077683331461785,19.121936159531675,26.390942019702848,3.347765428595278,6.946946438508881,0.0,2978.766900674509,71.51237159127868,51.19899145435921,296.553675688279,0.3325092792551085,0.15648242069194532,0.13486791183615515,0.19209454497026587,0.2205086686077508,0.1933919525477231,77.51072412785885,,healthy,misfire,combustion,mechanical_combustion_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
3.0,3.0,0.0008333333333333334,fault_eng_001,misfire_001,standard_recon,takeoff,3.0,1,3.606199919010707,50.0,1799.9923216522523,249.9923216522522,0.007678347747793125,0,250.0,0.17811801015598927,0.019676434673006504,44.88853912652768,-5.533628853257426,101.27836781335238,1.3183610438232687,44.71042111637169,1.8537810645765154,1.4463346667768044,41.61404918064019,0.8161843480754486,0.817161844961956,0.836087078994162,0.12,16.09948901099202,207.2336607625798,378.8372156659244,26.038596421401845,270.2102862063107,transient,810.5670684742212,-511.13317659282654,-0.21671467496333463,0.5457791253442927,0.008056317983195836,0.012332810743041414,0.8354921782399338,15.896970478773682,2971.4325344506105,75.38481020366135,131.72376896716395,240.81624937816147,54.813040235037256,1.6792810691055278,24.829626201821554,141.71510517709322,241.543420491943,0.027010060837400363,1.4905491037632248,3.6217231259697322,49.6487015730392,99.2974031460784,99.2974031460784,125.63045148005814,370.8565642503338,37.99830048666824,0.0008946190408881402,51.58090568553087,0.02089478730883231,0.018632735330196663,0.00879428043742813,59.81989710118148,25.95761297500248,25.982312039064528,50.02794496643991,1360.5417166372217,10.702869391461244,0.3224739391088141,2.9296875,2971.58203125,1360.3515625,0.0,0.0,0.0,nominal,15.8293659041703,71.2947289803945,22.147709141132108,6.318343236961807,19.00506100175495,26.228430743058954,3.3272361876938055,6.904635143716506,-1.4551915228366852e-11,2978.922094382352,70.99717165386801,50.959669673550515,297.06261227459413,0.3325094546428282,0.15648301284943927,0.13486814881045292,0.19209476872514994,0.22050890626171787,0.19339203651210501,77.51069592688688,,healthy,misfire,combustion,mechanical_combustion_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
3.5,3.5,0.0009722222222222222,fault_eng_001,misfire_001,standard_recon,takeoff,3.5,1,4.329367252399109,50.0,1799.991493252667,249.99149325266686,0.008506747333135849,0,250.0,-0.03424271214300223,-0.31791597845785036,44.366297255000255,-5.538111274773996,101.26901859105914,1.3182614232281578,44.40053996714326,1.8616578321038393,1.4424111199784193,41.628563398093775,0.8177041259570208,0.8071192032290204,0.8371568145890551,0.12,16.006152586578246,207.24259975993303,379.9343378642833,50.24507538696374,248.7771482777113,transient,797.389520359653,-515.6333845859305,-0.45660094940294016,0.5419699425269575,0.008027459170091757,0.012336063969395088,0.832863268294332,15.841149335155336,2979.282972209829,75.4620465888406,131.4988831891018,240.076125836168,54.53738912874408,1.6388951705267683,24.8621292568263,142.60728141493487,243.00260630013673,0.028545359153184728,1.6025544054222232,3.5943391477171738,49.65112647472426,99.30225294944852,99.30225294944852,125.63658742085491,370.87467732638765,38.00015636889597,0.0008965737975989496,51.61687926125615,0.0209881547503564,0.017727171484949622,0.008871730274210147,59.28157145144971,26.008026928275886,26.065267506378365,48.586480518018774,1361.1131264900641,10.551101166693856,0.34149943456190823,2.9296875,2979.78515625,1361.328125,0.0,0.0,0.0,nominal,15.698704802507711,70.91100450533716,22.02755311850538,6.328848315997671,18.921705918700304,26.102888397116754,3.312055658612084,6.875649728400324,-1.4551915228366852e-11,2979.0675884834554,70.60854832395614,50.778248147709625,297.14754411949406,0.33250962977248993,0.15648357400728907,0.13486838687823885,0.19209499213423142,0.22050914316070022,0.1933921203283065,77.51066830898752,,healthy,misfire,combustion,mechanical_combustion_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
4.0,4.0,0.0011111111111111111,fault_eng_001,misfire_001,standard_recon,takeoff,4.0,1,5.050572812388319,50.0,1799.9906571767801,249.99065717678008,0.009342823219915437,0,250.0,-0.1397979683018611,0.07056452404007685,44.119777909367976,-5.542580944765632,101.25969544221599,1.3181620758999328,44.25957587766984,1.8665893235339222,1.4416391517823062,41.66080257715791,0.8192800755577678,0.8249364990591447,0.838164471780518,0.12,16.17087609832757,207.24603820882717,378.7695447809397,83.84995555817838,219.2212193490934,transient,802.8445087700266,-499.56901783223174,0.25897772132591257,0.5402783949023399,0.008014643808084627,0.012337613390130881,0.8316958456246774,15.812111492239968,2980.2849374595316,75.41116052691457,130.54888818582725,243.30397104984053,53.906160471060105,1.602921064169191,24.89830160128741,143.73822883379987,243.66605958043255,0.02778246303002861,1.4523002685142508,3.786156332440896,49.64845093473456,99.29690186946912,99.29690186946912,125.62981726803704,370.85469207930856,37.99810866232417,0.000897604581990387,51.620071851223166,0.020552472745141475,0.0181951403057097,0.009141566904977428,59.33483289818116,26.003114082393868,25.990362533569698,47.094851475494885,1366.6619613343469,10.692533109185963,0.35659488632735437,5.859375,2979.78515625,1366.69921875,0.0,0.0,0.0,nominal,15.892899700514562,71.56809590833274,22.231299043570814,6.338399343056256,19.083853982657022,26.315591361095695,3.339823874608584,6.935926989456861,1.4551915228366852e-11,2978.9070560840737,71.26548900366689,50.6878997698906,297.13044415514094,0.3325098052865453,0.15648415282709516,0.13486862641915237,0.1920952162013307,0.22050938118234178,0.1933922043646967,77.51064029728812,,healthy,misfire,combustion,mechanical_combustion_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
4.5,4.5,0.00125,fault_eng_001,misfire_001,standard_recon,takeoff,4.5,1,5.771392388279472,50.0,1799.9898268496008,249.9898268496008,0.010173150399198085,0,250.0,0.03632181189707462,0.443222801382009,43.96088361778545,-5.547048105862814,101.25037799273791,1.3180627870890844,43.924561805888374,1.865186012848542,1.4296517033035194,41.662299650462934,0.819346757008797,0.8160105272665954,0.8378894154433096,0.12,16.060385697819616,207.24904969851647,380.07663423876465,125.92774257568126,171.86056445210994,transient,800.6038342438478,-492.7964926034764,-0.07175478259224377,0.5361625087500983,0.007983461374759387,0.012341657387144279,0.8288552641772996,15.751727888969734,2978.015671390731,75.37656220390885,131.66500206921393,243.330803573503,53.472870226754104,1.563000836781744,24.870812862680072,144.33013805133254,244.9517489055383,0.026783054259667333,1.4798185074744639,3.2633924848591267,49.650891501313644,99.30178300262729,99.30178300262729,125.63599284708509,370.87292216605135,37.9999765335734,0.0008976790709024645,51.58487624795963,0.020433266400943575,0.017601676006290597,0.008844095283935673,59.147498359518444,26.03384768061307,25.97867146097232,45.82174749899191,1368.807606294812,10.607274601626626,0.3428461914410809,5.859375,2977.734375,1368.65234375,0.0,0.0,0.0,nominal,15.729342854260944,71.07600654659464,22.078117954184677,6.348775099923732,18.971390120926248,26.160047791354646,3.320116128592319,6.895109651460472,1.4551915228366852e-11,2979.053490078819,70.77096705265497,50.49184979290191,297.2346688023356,0.33250998047676955,0.15648475699739414,0.1348688664815551,0.19209543976579815,0.22050961825821613,0.1933922882156553,77.51061184134085,,healthy,misfire,combustion,mechanical_combustion_fault,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
