global_time_s,time_in_mission_s,actual_operating_hours,engine_id,mission_id,mission_type,phase,time_in_phase_s,telemetry_valid,altitude_m,target_altitude_m,aircraft_mass_kg,fuel_mass_kg,fuel_used_kg,refueled_at_sortie_start,sortie_start_fuel_kg,wind_u_mps,wind_accel_mps2,ground_speed_mps,ambient_T_C,ambient_P_kPa,air_density_kg_m3,airspeed_mps,flight_path_angle_deg,vertical_speed_mps,target_airspeed_mps,throttle_cmd,throttle_actual,prop_pitch_cmd,prop_pitch_actual,engine_power_command_kW,engine_bsfc_g_kWh,actual_bsfc_g_kWh,desired_thrust_N,thrust_equilibrium_error_N,settled_state,drag_N,excess_thrust_N,shaft_torque_error_Nm,prop_advance_ratio,prop_Cp,prop_Ct,prop_efficiency,prop_power_kW,rpm,cht_cyl_avg_C,egt_cyl_avg_C,oil_pressure_kPa,oil_temp_C,fuel_flow_g_s,fuel_temp_C,boost_pressure_kPa,manifold_pressure_kPa,vib_rms_g,vib_crest_factor,vib_kurtosis,vib_1x_hz,vib_2x_hz,vib_firing_hz,vib_bpfo_hz,vib_bpfi_hz,vib_bsf_hz,vib_psd_peak,vib_psd_peak_freq,vib_1x_rms,vib_2x_rms,vib_fire_order_rms,vib_spectral_centroid,battery_voltage_V,battery_voltage_raw_V,coolant_temp_C,rail_pressure_bar,SOI_deg_bTDC,inj_duration_ms,altitude_quantized_m,rpm_quantized,rail_pressure_quantized_bar,sensor_drift_flag_rpm,sensor_drift_flag_rail,sensor_drift_flag_boost,fadec_mode,true_brake_power_kW,true_fuel_power_kW,true_indicated_power_kW,true_friction_power_kW,true_exhaust_heat_kW,true_coolant_heat_kW,true_oil_heat_kW,true_direct_heat_loss_kW,true_energy_closure_error_W,true_rpm,true_indicated_torque_Nm,true_prop_load_torque_Nm,true_prop_thrust_N,true_bearing_wear,true_thermal_fatigue,true_turbo_degradation,true_injector_wear,true_lubrication_degradation,true_electrical_degradation,true_overall_health_index,simulated_rul_hours,health_state,fault_type,fault_domain,fault_nature,fault_severity,severity_category,fault_active,fault_misfire_active,fault_injector_active,fault_turbo_active,fault_lubrication_active,fault_sensor_active,fault_overheating_active,fault_electrical_active,fault_bearing_active,failure_flag,failure_mode
0.0,0.0,0.0,norm_eng_001,normal_001,standard_recon,takeoff,0.0,1,0.0,50.0,1799.9969170621653,249.99691706216518,0.003082937834820935,1,250.0,-1.8633359021290066,0.2239092543480763,43.13666409787099,4.301524555194192,99.16426442889293,1.2450833471600065,45.0,0.0,0.0,41.78689626328313,0.9734713677308983,0.9821665594287964,0.9423142451539321,0.45500000000000007,56.570094452987604,210.3596779156732,221.69237569990622,38.120523094407844,913.8760330562707,transient,981.6621441968332,-23.68229354993874,164.02146979323908,0.6447900314668532,0.04906507669337981,0.058389887795091806,0.7673322885852772,56.53552018684081,2540.062699556884,73.81524240404666,453.22971803761135,300.03980583390626,56.763812329809824,6.182757521878727,25.19583396315565,144.99518153805687,243.28697679787734,0.02176602320315046,1.3825373013936777,3.081831165984839,42.297067171903514,84.59413434380703,84.59413434380703,130.24292275980457,335.0248161311341,38.74153886950143,0.00047959640398893025,42.266183809961376,0.011237075025110985,0.016298069497982192,0.01016536486998874,53.37702101468919,28.48559715380387,28.364698984163006,59.71060285778569,1616.6068312231555,11.595724335703634,1.43378296884556,0.0,2539.892578125,1616.69921875,0.0,0.0,0.0,nominal,100.12591700834086,263.899478660672,105.60708323068737,5.4811662223465,57.14695903461687,76.45883436980729,9.007545890878212,21.16022235702878,0.0,2537.8240303142106,397.3771811026653,212.73123882178646,964.0340020295046,5.772095289545256e-07,1.8283314234095691e-06,3.8360447232077523e-07,6.032370244271696e-07,9.272296987246051e-07,2.0997630844528565e-07,99.99992084490418,,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
0.5,0.5,0.0001388888888888889,norm_eng_001,normal_001,standard_recon,takeoff,0.5,1,0.0,50.0,1799.9961433805918,249.99614338059183,0.0038566194081714653,0,250.0,-1.7513812749549684,-0.18146469877909843,43.131266664867134,4.301742721350649,99.16426442889293,1.2450823681247132,44.8826479398221,1.645286874422396,1.2886583265605225,41.801964712123386,0.9710521758492779,0.9713419017644176,0.9401113407952142,0.23000000000000007,37.54187990372769,210.37875571469309,372.9080199263871,58.290917656556296,635.271531198296,transient,835.6814827727987,-129.25660693324735,-70.6837649669418,0.5471210057269464,0.019781940435616763,0.03024189599430216,0.836418277840014,37.018609981454034,2949.757546864085,74.16134796901282,201.57751450581725,336.63308878615857,56.543002523250735,1.8006871311430452,25.137275490932428,161.34684143995239,259.1026134857509,0.021663404910634627,1.4067371706876135,2.873839577113345,49.71771240234376,99.43542480468751,99.43542480468751,153.09288821126606,393.80194821451533,45.53839819933338,0.0004933062485701861,49.702020131193485,0.012126190722064528,0.015990760228069337,0.009067677463205605,62.739397317759156,28.384295831837214,28.43265509728652,59.16813367193638,1610.4632202099644,11.956561141643366,0.31772091286693166,0.0,2950.048828125,1610.3515625,0.0,0.0,0.0,nominal,14.938019646837978,66.2271426788054,21.762534645434798,6.824514998596818,17.891804720613628,23.953371361802482,2.820902210826766,6.6230447387245395,0.0,2983.0627441406255,69.66561403710716,118.50293346685928,689.8666506983651,8.001376457662411e-07,2.4843463987138726e-06,6.50129078159946e-07,8.236719888493539e-07,1.1670210633233416e-06,3.1310191811070163e-07,99.99989094100633,,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
1.0,1.0,0.0002777777777777778,norm_eng_001,normal_001,standard_recon,takeoff,1.0,1,0.6443291632802612,50.0,1799.9953602061262,249.9953602061262,0.004639793873784017,0,250.0,-2.044800600908105,-0.36586940383464395,42.75336321422231,4.297772747945487,99.15639737263363,1.245001405631181,44.798163815130415,1.8156504253967927,1.419374923544093,41.80028170687953,0.9697968132158752,0.9728695874392186,0.9387780646182473,0.12,14.929544831661582,210.34367701914184,371.0112031333484,66.91243219243168,220.44819972163322,transient,810.2678608834806,-489.2239001660544,0.39044695879830726,0.5461326255277825,0.008058996141797508,0.012332525226147287,0.8357361466165418,15.0766534899406,2986.4147509794216,74.47467123375384,135.98433550382464,343.4568852384953,56.29704299691967,1.4934726676915773,25.114215178307923,175.55630500503938,273.3353123118217,0.023350843740027275,1.3584834809828865,3.1226222321318806,49.71393585205078,99.42787170410156,99.42787170410156,153.08125929746672,393.7720350750919,45.534939109146976,0.0004929805616837616,49.74053903592882,0.011543201032645313,0.01601296038477633,0.009754386122244692,62.582425317480165,28.55421488051033,28.383142723544392,58.036928683050235,1612.3673345565487,11.826477765074678,0.3195814578497654,0.0,2985.9375,1612.3046875,0.0,0.0,0.0,nominal,15.19861423263723,67.0397342564344,22.033227999970304,6.834613767333071,18.08176132708193,24.215723881047598,2.8512622235093206,6.692372592158323,0.0,2982.836151123047,70.53750801187815,48.266625586610786,281.2638558926863,1.0237119140971014e-06,3.112712681922724e-06,9.314020300548055e-07,1.0449717205661658e-06,1.408347754764688e-06,4.1659660340919995e-07,99.99986124271048,,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
1.5,1.5,0.0004166666666666667,norm_eng_001,normal_001,standard_recon,takeoff,1.5,1,1.3540166250523078,50.0,1799.9945862197865,249.99458621978653,0.005413780213463305,0,250.0,-2.1172506787896124,-0.01081691359088488,42.56508466926814,4.293377945599616,99.1477329099964,1.2449123347348539,44.68233534805775,1.8303737687040147,1.4271812852383647,41.80106358596864,0.9671224635719535,0.9600790053898118,0.9362125941302208,0.12,14.788196913236682,210.28108479138857,373.12073410620695,71.76156976105298,211.61751705823139,transient,791.8670721502966,-517.6801713039865,-0.39121814427831225,0.5446910380821345,0.008048074507246967,0.012333706958262894,0.8347412341234811,15.057592801354456,2982.2948829134953,74.79650011390797,117.10567279042803,342.8045648200826,55.811523412745316,1.5721148456138494,25.172254856602787,184.88245076511603,282.8769584546253,0.02245371505048046,1.4435269695727835,3.0223029445179392,49.716630801558495,99.43326160311699,99.43326160311699,153.08955770026492,393.79338111687855,45.53740751885208,0.000492071226589478,49.68718124321629,0.011939061884324748,0.0157690361123847,0.010012991064779387,62.74190087168187,28.413354408926974,28.503046138334152,56.896716030229086,1607.5752931577363,11.94215001173983,0.3190229275414271,0.0,2981.8359375,1607.421875,0.0,0.0,0.0,nominal,14.935384545273305,66.25323067654706,21.78121610926186,6.845831563988556,17.893757971722216,23.98090196791323,2.822482325240414,6.620703866397893,0.0,2982.9978480935097,69.7269335120186,48.20299136854176,281.3011786430233,1.2466329101872273e-06,3.705925740260673e-06,1.2222420799756748e-06,1.2652600996879315e-06,1.648123628296817e-06,5.197184777551487e-07,99.99983208298372,,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
2.0,2.0,0.0005555555555555556,norm_eng_001,normal_001,standard_recon,takeoff,2.0,1,2.06760726767149,50.0,1799.9938040834036,249.99380408340355,0.006195916596433176,0,250.0,-2.05561751449899,-0.4771700607965048,42.33284180837988,4.288957772577248,99.13902142580537,1.2448227844323403,44.38845932287887,1.8307478717975034,1.4180843831865957,41.79504774147591,0.9645027174081736,0.9622006070305926,0.9336933968411096,0.12,15.17177280366436,210.2127350907176,371.41594135073456,83.70368159042674,187.6844760324191,transient,799.6671746887425,-514.6561909020518,0.5088106435591655,0.541148236229889,0.008021233827389477,0.012336808518541012,0.8322961671704646,15.002998510081396,2979.807095666967,74.96698489425056,112.13221939318265,345.48942058129194,55.32854971666981,1.6666924896561433,25.114033198496664,192.4268423677555,289.95325873305063,0.021499809133586685,1.4558209999780367,2.97069144382551,49.712989451363676,99.42597890272735,99.42597890272735,153.0783451003407,393.7645388646597,45.53407226372584,0.0004903750108225526,49.75226546871822,0.01177671528859927,0.015624459682105685,0.010311836724839634,62.80562594224898,28.412223331309892,28.440681521547546,55.619029896340884,1603.1359807440433,11.731947182379471,0.3238621466408309,2.9296875,2979.78515625,1603.02734375,0.0,0.0,0.0,nominal,15.161928529247644,66.95087438222097,22.017726328103144,6.8557977988555,18.052596374697636,24.21054453243084,2.848392990340598,6.67741195550426,0.0,2982.7793670818205,70.48922262441124,48.03173980144329,281.31046552383646,1.4701150147793103e-06,4.278156850502876e-06,1.5208708143697027e-06,1.4862432386074668e-06,1.8892337803042136e-06,6.231612442385074e-07,99.99980312847686,,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
2.5,2.5,0.0006944444444444445,norm_eng_001,normal_001,standard_recon,takeoff,2.5,1,2.776649459264788,50.0,1799.9930324218099,249.99303242180983,0.006967578190158491,0,250.0,-2.594420739586117,-0.9783980214467789,41.73363604510479,4.284567164485452,99.13036609653433,1.2447338037419806,44.32805678469091,1.8356470887083038,1.4199431346210556,41.79777216992908,0.9598997127214469,0.9673666085736076,0.9295839585997774,0.12,15.02948529663525,210.10297687711136,373.7027347091942,113.2257910937846,163.39731670695468,transient,796.6007094632479,-525.2849487114936,-0.40394733055376975,0.540382542960301,0.008015432845913469,0.012337516112890475,0.8317677234731605,14.993516457492111,2986.7323218260103,74.94866775799429,107.32070691229697,346.0637028292525,54.99140161034089,1.5761450000191262,25.04968132926833,196.9227105420926,295.13877279689734,0.02093196846779404,1.3284312545506949,2.91107254657624,49.71568624931024,99.43137249862048,99.43137249862048,153.0866491949302,393.7858995474825,45.536542366488405,0.0004897576531007376,49.76643653779344,0.01272614366331774,0.015585384185392072,0.009269056914880417,62.84503399633096,28.417910382591362,28.460914995426307,54.350252407675704,1600.311645882013,11.827204695219987,0.2922747719340602,2.9296875,2986.962890625,1600.09765625,0.0,0.0,0.0,nominal,14.867334270769438,66.0542324228869,21.73419952821426,6.86686525744482,17.833309980409197,23.945589164431063,2.8152805271258736,6.592718480151333,-1.4551915228366852e-11,2982.9411749586143,69.57774396825974,47.99877943096201,281.3370121609435,1.6928672397124902e-06,4.819281441681694e-06,1.8237619287235126e-06,1.7060442080823633e-06,2.1286098411543403e-06,7.261866328297547e-07,99.99977473234243,,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
3.0,3.0,0.0008333333333333334,norm_eng_001,normal_001,standard_recon,takeoff,3.0,1,3.4866210265753157,50.0,1799.9922546877901,249.99225468779014,0.007745312209861381,0,250.0,-3.034015535945769,-0.32955058838241946,41.484017280226205,4.280170515450095,99.12170004899143,1.2446447127504283,44.518032816171974,1.8338126165961528,1.4246039329256244,41.81451262047228,0.9548228878676697,0.9602010439379742,0.9251852960796885,0.12,14.982082117687758,209.9747546683877,372.2723939697812,128.68984393284464,154.732558874608,transient,797.7083022510257,-517.720153520262,0.06175777460825316,0.542736914635624,0.008033269840201715,0.012335382787824032,0.8333925945832401,15.022612113917651,2982.8764253758955,74.97801360341744,106.23388225285929,350.0376321298562,54.473507265081395,1.6668482225637096,25.02759196995769,198.52407952448812,296.7048402826133,0.022900078673887426,1.4025095563479077,3.0635846039210715,49.71216296814646,99.42432593629292,99.42432593629292,153.07580015817285,393.7579924914382,45.533315255407636,0.0004866417370814832,49.820470353349776,0.012612622164928611,0.0159687848116231,0.009747256156258191,62.64559360937861,28.499310546895416,28.553131454697805,52.94758964546291,1592.2683077471024,11.920615243883018,0.3268684837520084,2.9296875,2982.861328125,1592.28515625,0.0,0.0,0.0,nominal,15.041902200020115,66.57403208656737,21.918607027109985,6.876704827089871,17.943122547879444,24.125404185409817,2.8342684523159165,6.629334700942073,0.0,2982.7297780887875,70.1730611940697,48.095331873090856,281.2283673614489,1.9160499544281083e-06,5.338396962223925e-06,2.127931968223234e-06,1.9262690752047607e-06,2.3690124472912066e-06,8.294594461268823e-07,99.99974667690246,,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
3.5,3.5,0.0009722222222222222,norm_eng_001,normal_001,standard_recon,takeoff,3.5,1,4.198922993038128,50.0,1799.9914716846524,249.99147168465248,0.008528315347511979,0,250.0,-2.9239713279685366,0.11486190474289071,41.459826400457736,4.275758718818452,99.11300618619816,1.2445553376142293,44.38379772842627,1.8221189070604573,1.4112544838613794,41.81024647944241,0.9504178482859023,0.9473360562645116,0.9214064187227062,0.12,15.058816527375743,209.86359711213552,371.08517181154554,148.5286278179724,138.95253529634437,transient,785.6432262730815,-503.2181840919392,0.6282620396714478,0.5411339597916929,0.008021125667429338,0.012336821589744114,0.832286314277558,14.996034543417721,2982.1358657718524,75.22176450264108,105.10298368314217,354.72681205655175,54.028203361214054,1.5262324378623964,25.074361352772744,198.41552868101851,296.16962435654546,0.020506252078105042,1.4820549179193465,3.288567974314383,49.70908009712814,99.41816019425627,99.41816019425627,153.06630725101016,393.73357381739936,45.53049153321194,0.00048492052765369506,49.66781602777879,0.012777307260638722,0.01503330616488202,0.00959561883300794,62.38590228855515,28.494415488425798,28.471981584575442,51.75459598438475,1583.651951696624,11.817158318738555,0.3238620148804506,2.9296875,2981.8359375,1583.49609375,0.0,0.0,0.0,nominal,15.19226048177253,67.02506858289128,22.078791230661157,6.886530748888626,18.03868354919007,24.282153028159094,2.8508059352752753,6.661165588494317,0.0,2982.5448058276884,70.69027942154027,48.01322051621775,281.20609226115045,2.1396055933970616e-06,5.840146196436955e-06,2.432024383175269e-06,2.1468550225008123e-06,2.610301625994448e-06,9.329451402860869e-07,99.9997189051216,,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
4.0,4.0,0.0011111111111111111,norm_eng_001,normal_001,standard_recon,takeoff,4.0,1,4.904550234968817,50.0,1799.9906985341186,249.99069853411848,0.00930146588152309,0,250.0,-2.919153631202878,0.4432137887876255,41.10930411269953,4.271390307894308,99.10439441317885,1.244466795826349,44.02845774390241,1.819837490902302,1.3982036259099313,41.811761938547846,0.9466790641893217,0.9471748376009744,0.9181843087518013,0.12,14.57670182335223,209.77530947615122,373.2828080612032,189.12516863935997,101.7232144716454,transient,790.7379762212367,-500.16110227273884,-0.07316696625693453,0.5367723978565775,0.007988081965731813,0.012341033407799691,0.8292761795322783,14.935632109363953,2984.723032539309,75.30594554097301,104.56274351758375,355.5134069836625,53.530500072960365,1.573974442848388,25.022290749506418,198.9497603719013,296.7182640084465,0.02318223686727153,1.3527991527618644,2.8253100412922403,49.711784530532185,99.42356906106437,99.42356906106437,153.07463485702408,393.7549949788299,45.53296862958879,0.0004832653569367888,49.693935346843034,0.01138542865395621,0.014963123641426929,0.009577731058946942,62.566328580282864,28.37289457806917,28.48734218195724,50.61319689412224,1578.9681832284678,11.979693405765065,0.31728457567269897,5.859375,2984.912109375,1579.1015625,0.0,0.0,0.0,nominal,14.912778527875018,66.18168571135115,21.810145320607997,6.897366792732978,17.8347692698561,24.03139962251876,2.819791540519797,6.582946750581487,-1.4551915228366852e-11,2982.707071831931,69.82634942818,47.817226857896046,281.3126911370929,2.3624679817038704e-06,6.320305102357086e-06,2.7351726131042835e-06,2.3663513947203367e-06,2.8499446327999317e-06,1.0360349673527621e-06,99.99969159983206,,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
4.5,4.5,0.00125,norm_eng_001,normal_001,standard_recon,takeoff,4.5,1,5.603652047923783,50.0,1799.9899193838755,249.98991938387553,0.010080616124469782,0,250.0,-2.480757539180911,0.39328740599494294,41.02884948906127,4.267064312256139,99.09586289062882,1.2443790687238605,43.509607028242186,1.827639930769138,1.3876486407941775,41.822001202714084,0.9435979175477784,0.9358300285366098,0.9154736911399028,0.12,15.451367140446024,209.69670956699338,371.994021488247,242.5509837997722,34.852644266215634,transient,796.5578977993332,-499.13127740947823,0.6898274098670356,0.530479228595717,0.007952384946363245,0.012366524414253139,0.8249329447618333,14.865116347690163,2981.666050878447,75.35765756495695,105.07031584001402,358.1302656716915,52.98952256975739,1.607020840599405,24.986570652146707,198.62804331505822,296.39914299250916,0.02192003268878215,1.4128352458541285,3.0870720219275567,49.708748964215665,99.41749792843133,99.41749792843133,153.06528761250502,393.7309509938673,45.53018823562047,0.00048139269524080284,49.81231889643007,0.011792477496099657,0.015585476818441343,0.009630374208405738,62.48923815953028,28.388444197308722,28.50977423282315,49.60079303244464,1576.9733961061283,11.578020995324142,0.3017649940120352,5.859375,2981.8359375,1577.1484375,0.0,0.0,0.0,nominal,15.08056964671787,66.69526079623672,21.987630535925188,6.907060889207318,17.948694859693155,24.204611880072715,2.8388098422943657,6.622574567458619,0.0,2982.5249378529397,70.39887664825302,47.594373136893154,281.8394612244499,2.5857449420147734e-06,6.791782540409175e-06,3.0385605319638092e-06,2.586312387471131e-06,3.0905750269720787e-06,1.1393625471908338e-06,99.99966441238148,,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
