global_time_s,time_in_mission_s,actual_operating_hours,engine_id,mission_id,mission_type,phase,time_in_phase_s,telemetry_valid,altitude_m,target_altitude_m,aircraft_mass_kg,fuel_mass_kg,fuel_used_kg,refueled_at_sortie_start,sortie_start_fuel_kg,wind_u_mps,wind_accel_mps2,ground_speed_mps,ambient_T_C,ambient_P_kPa,air_density_kg_m3,airspeed_mps,flight_path_angle_deg,vertical_speed_mps,target_airspeed_mps,throttle_cmd,throttle_actual,prop_pitch_cmd,prop_pitch_actual,engine_power_command_kW,engine_bsfc_g_kWh,actual_bsfc_g_kWh,desired_thrust_N,thrust_equilibrium_error_N,settled_state,drag_N,excess_thrust_N,shaft_torque_error_Nm,prop_advance_ratio,prop_Cp,prop_Ct,prop_efficiency,prop_power_kW,rpm,cht_cyl_avg_C,egt_cyl_avg_C,oil_pressure_kPa,oil_temp_C,fuel_flow_g_s,fuel_temp_C,boost_pressure_kPa,manifold_pressure_kPa,vib_rms_g,vib_crest_factor,vib_kurtosis,vib_1x_hz,vib_2x_hz,vib_firing_hz,vib_bpfo_hz,vib_bpfi_hz,vib_bsf_hz,vib_psd_peak,vib_psd_peak_freq,vib_1x_rms,vib_2x_rms,vib_fire_order_rms,vib_spectral_centroid,battery_voltage_V,battery_voltage_raw_V,coolant_temp_C,rail_pressure_bar,SOI_deg_bTDC,inj_duration_ms,altitude_quantized_m,rpm_quantized,rail_pressure_quantized_bar,sensor_drift_flag_rpm,sensor_drift_flag_rail,sensor_drift_flag_boost,fadec_mode,true_brake_power_kW,true_fuel_power_kW,true_indicated_power_kW,true_friction_power_kW,true_exhaust_heat_kW,true_coolant_heat_kW,true_oil_heat_kW,true_direct_heat_loss_kW,true_energy_closure_error_W,true_rpm,true_indicated_torque_Nm,true_prop_load_torque_Nm,true_prop_thrust_N,true_bearing_wear,true_thermal_fatigue,true_turbo_degradation,true_injector_wear,true_lubrication_degradation,true_electrical_degradation,true_overall_health_index,simulated_rul_hours,health_state,fault_type,fault_domain,fault_nature,fault_severity,severity_category,fault_active,fault_misfire_active,fault_injector_active,fault_turbo_active,fault_lubrication_active,fault_sensor_active,fault_overheating_active,fault_electrical_active,fault_bearing_active,failure_flag,failure_mode
0.0,0.0,0.0,engine_001,life001_mission001,calibration_bench,takeoff,0.0,1,0.0,50.0,1799.9973311033252,249.99733110332517,0.0026688966748754,1,250.0,3.081085847848852,-0.8653578796615715,48.08108584784885,18.0,101.325,1.2123559919850473,45.0,0.0,0.0,42.07978415179144,0.7885426989109177,0.7877721602843687,0.8190284659406118,0.455,58.189723830388985,206.0833052367738,219.0646405113079,120.73388358630248,880.2978219808964,transient,993.461619263,10.657435719981986,110.13481994792453,0.6337770714586949,0.0490407225780581,0.0600139743074741,0.7755897320364156,57.94058601634935,2584.1860445971706,73.98426574031112,424.804594342032,301.3813821295929,57.46514670536376,5.322563459004984,24.84708895737124,140.33476998929987,241.21430401906855,0.0195822178528424,1.435009004061577,3.0113834457118798,43.03205101749207,86.06410203498413,86.06410203498413,105.67518927602931,367.6773719163834,26.96325620317556,0.0004055694452664,42.9706993514324,0.0116823082434017,0.0139241161985234,0.0091060457557103,53.99074013513231,28.428999726110547,28.540400158615427,58.98872860399052,1379.063074646298,10.217213121292849,1.3361185299220135,0.0,2583.984375,1378.90625,0.0,0.0,0.0,nominal,87.71865698750936,228.45755536934124,93.5769221079032,5.858265120393862,48.06820372923825,67.52680648025692,7.740639411000754,17.403248761335963,-5.820766091346741e-11,2581.923061049524,346.0962087710884,214.2944724246282,998.6249684989616,1.08496001826771e-05,3.522704745958036e-05,8.211630034455064e-06,9.71833614035331e-06,1.6116264968787975e-05,3.635742041345111e-06,99.99852774278185,10.022777777777778,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
0.5,0.5,0.0001388888888888,engine_001,life001_mission001,calibration_bench,takeoff,0.5,1,0.0,50.0,1799.9965659438055,249.9965659438056,0.003434056194416,0,250.0,2.648406908018066,-0.2709842242826483,48.08398519387228,18.000218166156458,101.325,1.2123550835363135,45.43557828585421,1.6755226353332549,1.3285008156089284,42.08628281299322,0.7892761069052798,0.7907069198450091,0.8194674187492429,0.23,36.37597106639945,207.1461717262342,372.716284361106,107.83963278404316,560.1334601889605,transient,827.8899835265108,-142.25140583424383,-68.41183791475282,0.5544125441884034,0.019887931638088,0.0299566571570403,0.8350967215719521,36.13070038093196,2949.203630250407,74.04033702391868,210.12928475384732,332.4432411743694,57.13964689564863,1.7136745938226807,24.832947325710656,151.01575194436515,251.9974288090072,0.0211713316762926,1.5531553690691269,3.1383794380602548,49.66827392578125,99.3365478515625,99.3365478515625,121.9719749353119,424.37903824828186,31.12141678968465,0.0004198753679213,49.60421087494932,0.0123834508929024,0.0134448596683265,0.0092457784292824,61.98954992006036,28.37957732220103,28.59253252964008,58.54666964855362,1381.5152802145185,10.312456554171172,0.3197124569920312,0.0,2949.0234375,1381.34765625,0.0,0.0,0.0,nominal,14.781078186953607,65.49765487267562,21.888021838384905,7.1069436514312985,17.32331406065662,24.331303518897705,2.7894199715334063,6.272539134634296,0.0,2980.096435546875,70.13706325466026,115.77570767992212,664.0749512724622,1.55531755817823e-05,5.005314515119379e-05,1.42335615145069e-05,1.3984861874686392e-05,2.085876056468786e-05,5.5509982839104e-06,99.99788562621072,10.022638888888888,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
1.0,1.0,0.0002777777777777,engine_001,life001_mission001,calibration_bench,takeoff,1.0,1,0.6642504078044642,50.0,1799.9958055514755,249.99580555147563,0.0041944485243917,0,250.0,2.8101016235662035,0.3650872792802331,48.19675095695227,17.99611870466191,101.31710288771168,1.2122776636201795,45.38664933338607,1.8267203085303716,1.4467849054463875,42.08065245259169,0.7902628987758362,0.7976783632495539,0.8199776643143717,0.12,14.35445329148002,207.15294374365155,374.0428974941336,86.98485212772866,178.68355143264316,transient,800.1247644244943,-521.7025291160346,-0.3543277652685717,0.5537887091727943,0.0081169995240492,0.0122470470846503,0.8355644688769833,14.747472256737172,2972.363898204484,74.18072387896427,155.512328294445,334.6827781217029,56.86745891183624,1.5120252206103086,24.88806105774108,160.60224369233472,261.13755988780554,0.0212192953232458,1.395070348786939,3.1113806828641994,49.670677185058594,99.3413543701172,99.3413543701172,121.97787669627864,424.39957233936593,31.12292263693305,0.0004204605918758,49.711634789337,0.0122348051440475,0.013774719560569,0.008465768539827,61.99595126589152,28.425567070738857,28.36661669611349,57.567642333182405,1382.098660921322,10.387437464703115,0.3391447820326059,0.0,2972.607421875,1382.32421875,0.0,0.0,0.0,nominal,14.636890079995124,65.0895834459137,21.750908870359407,7.114018790364282,17.235170611850727,24.20121676054452,2.7749099056194995,6.241396087903835,0.0,2980.240631103516,69.69433194078506,47.25389788880007,271.49974727070975,2.0249304282450204e-05,6.42233478254087e-05,2.047468957946631e-05,1.824352207593723e-05,2.558449166467631e-05,7.462444517770018e-06,99.99725240347642,10.0225,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
1.5,1.5,0.0004166666666666,engine_001,life001_mission001,calibration_bench,takeoff,1.5,1,1.387642860527658,50.0,1799.9950386471364,249.9950386471365,0.0049613528635116,0,250.0,3.013494187298299,-0.0400223996706987,47.91550844846912,17.991634819874776,101.3085032292552,1.2121934358896578,44.90201426117082,1.8362826066202131,1.4388262798480569,42.081922712993695,0.7905732664738394,0.784700459958932,0.8198473191181308,0.12,14.488004943463682,207.1510919218444,372.6531397555936,95.89425563722308,174.12300552907038,transient,794.1389753212103,-522.7249785564226,0.4942046316042834,0.5479053313376797,0.0080724263676778,0.0123311349628604,0.8369595806594174,14.663066363845711,2982.3435333268885,74.32753746991078,141.11780305287007,336.132558678856,56.67928583321461,1.5514047480821116,25.00135913068526,166.8790088154696,268.3874509182544,0.021394822873923,1.3669411358381685,2.972386455393248,49.667963460087776,99.33592692017557,99.33592692017557,121.9712125147406,424.3763855462249,31.12122225640451,0.0004205738527791,49.709081738139766,0.0121546058441167,0.0134709434342304,0.0089960578162697,62.07762084317047,28.4779404050202,28.512118104601605,56.34967408987322,1377.393511481192,10.378017419438608,0.3579026983399863,0.0,2981.8359375,1377.44140625,0.0,0.0,0.0,nominal,14.81729429486357,65.64701142866667,21.93734732632961,7.120053031466041,17.364596931815445,24.380960141999694,2.795649881355304,6.288510178632674,0.0,2980.0778076052666,70.29555919108267,46.98601130617859,273.3149965986741,2.495475965944563e-05,7.799198674868028e-05,2.6889857476781955e-05,2.251309101371368e-05,3.0331204487101712e-05,9.378657145010583e-06,99.99662286021108,10.022361111111111,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
2.0,2.0,0.0005555555555555,engine_001,life001_mission001,calibration_bench,takeoff,2.0,1,2.1070560004516867,50.0,1799.9942749565282,249.9942749565282,0.0057250434718409,0,250.0,2.7700792238955048,-0.3055740299225724,47.39049675743804,17.987176800619977,101.29995147577038,1.2121096710865051,44.62041753354253,1.846911159840911,1.4380758383966454,42.082621090506514,0.7936559479863121,0.7929803006082364,0.8219048372872866,0.12,14.68123517938682,207.16642860465683,373.62699760509537,115.7978636222902,150.75739269649054,transient,787.3163636677796,-508.2487667015525,0.3210151450781424,0.5444424503045802,0.0080461911772634,0.0123339154041811,0.8345696711105973,14.61655758354832,2976.530958163101,74.50786294508733,135.89619951962408,337.5807211300548,56.32815748862667,1.5590730608688057,25.015027273864003,172.39050171097443,273.5200712648661,0.0205542118221832,1.4490715710348077,2.8673678895566783,49.6704055275768,99.3408110551536,99.3408110551536,121.97720957827872,424.3972512250661,31.12275242031293,0.000420762297748,49.6863679585195,0.0132948465309266,0.0143933124465567,0.0091072768113892,61.52102478902915,28.48820514986634,28.446824656027346,55.43333881285199,1390.1308083791785,10.371580752526812,0.3396583120777955,2.9296875,2976.708984375,1390.13671875,0.0,0.0,0.0,nominal,14.716742674421171,65.37191607298575,21.84376847812289,7.127025803701717,17.311214940116972,24.286304230433476,2.786053498236218,6.271600729777924,0.0,2980.224331654608,69.99225579340244,46.834676820133744,273.3846147024737,2.9655019603335536e-05,9.12566029800683e-05,3.342444675186734e-05,2.6778808615936827e-05,3.5066214831440505e-05,1.1292213855311116e-05,99.99600086725154,10.022222222222222,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
2.5,2.5,0.0006944444444444,engine_001,life001_mission001,calibration_bench,takeoff,2.5,1,2.8260939196500097,50.0,1799.99351385212,249.99351385212003,0.0064861478799919,0,250.0,2.7079201573757268,-0.4649867979181552,47.1792894686742,17.982721220298743,101.29140477948069,1.2120259540774567,44.47136931129848,1.8494703408568856,1.435257479387396,42.08886308713313,0.7966797383794095,0.7985503594181445,0.8237655398104362,0.12,14.587773444662774,207.18116581242376,374.45899878605,154.24675512094376,120.80088214809524,transient,789.0068492223695,-516.0283381984934,0.1353233664183193,0.5426004744129092,0.008032236153168,0.012335502996544,0.833298430276701,14.592082460739446,2977.195690401316,74.87489263985236,134.88002428161656,341.19799854430335,56.295739874916336,1.5363903192797277,25.100748318431705,176.3257105768286,276.8445872216914,0.0198600422417654,1.3755299087232629,2.962622024760716,49.6725423366297,99.3450846732594,99.3450846732594,121.9824570088746,424.41550869405216,31.1240913137328,0.0004222335930675,49.6995512421599,0.011873274949702,0.0140375019912406,0.0090332323684282,62.08546635731568,28.53214907902926,28.47329323689199,54.31341513992493,1389.6583987651404,10.671517504299407,0.3375625736060063,2.9296875,2976.708984375,1389.6484375,0.0,0.0,0.0,nominal,14.63431712538111,65.15053733773219,21.76821461592391,7.133897490542798,17.269838229936536,24.208987905526847,2.7784145825718203,6.258979494315884,0.0,2980.352540197782,69.74716403542558,46.7542417678637,273.42444357595,3.4351036371547643e-05,0.0001040480667722,4.004932102228914e-05,3.104168784853445e-05,3.979164715213246e-05,1.320359206775505e-05,99.99538625918628,10.022083333333333,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
3.0,3.0,0.0008333333333333,engine_001,life001_mission001,calibration_bench,takeoff,3.0,1,3.5437226593437074,50.0,1799.9927590522718,249.9927590522717,0.0072409477282844,0,250.0,2.305092425977349,-0.4477670369903044,46.70725281664844,17.978274799642918,101.28287542812656,1.211942403923049,44.402160390671085,1.8475399176074017,1.4315286187590457,42.07820925120646,0.799766892503054,0.8069121656744285,0.8255810905094363,0.12,14.695752958369455,207.19797698767803,376.2223012047292,178.9676070994657,91.7936425198608,transient,785.5424858077239,-526.6985070394952,-0.4392880093991635,0.5417152670737294,0.0080255297191676,0.0123362930957681,0.8326875038682077,14.582186698772215,2978.696199781956,75.15880522808636,132.80256124595715,338.9483010881674,56.03926122753333,1.495674052268604,25.12852494500604,178.66092179783314,280.7685831744941,0.0201840544208958,1.2713535615150928,2.6719075706009243,49.676281752472285,99.35256350494456,99.35256350494456,121.99164001241736,424.4474592647778,31.126434377217564,0.0004234745048814,49.61299089049937,0.0119465473106243,0.0145043372033915,0.0087536044431747,62.01834822475129,28.44222571713796,28.42729750010674,53.25160671408763,1393.485855618357,10.563180810415345,0.318915464006157,2.9296875,2978.759765625,1393.5546875,0.0,0.0,0.0,nominal,14.445073804246562,64.61086701383553,21.586115238846972,7.141041434600414,17.15623351677993,24.030207680262432,2.7591444752322007,6.220207537314412,7.275957614183426e-12,2980.576905148337,69.15849619205459,46.719017855698965,273.4642759790567,3.903734659084409e-05,0.0001163463612973,4.673706000011689e-05,3.529538015148119e-05,4.449514008378751e-05,1.510996394445194e-05,99.99478028268707,10.021944444444443,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
3.5,3.5,0.0009722222222222,engine_001,life001_mission001,calibration_bench,takeoff,3.5,1,4.25948696872323,50.0,1799.9919951567938,249.99199515679376,0.0080048432062499,0,250.0,2.2601531203854224,0.2612224442122102,46.584854821859096,17.973840497782305,101.27436882853792,1.2118590730195251,44.32470170147367,1.8434054595133536,1.4258345381029278,42.06652638328767,0.803284529363826,0.8009593389000802,0.8276754804182822,0.12,14.227117775331475,207.20917125220163,374.2002120629282,206.3500909566085,63.02987612788107,transient,792.0552346489512,-524.9915197551377,0.4227809650524392,0.5407999176061069,0.0080185949248882,0.0123371287535963,0.8320557748505865,14.566187508260487,2973.9709296582614,75.07040546054961,133.76090630235953,342.2852952614718,55.634249402276055,1.509223650227659,25.05945265639512,180.779393227348,282.357573915765,0.0205747335467159,1.43901331603286,3.0839299804258453,49.67355708108073,99.34711416216146,99.34711416216146,121.98494894940248,424.4241789424855,31.12472713782128,0.0004244219565268,49.64999001191462,0.0124211395750869,0.0140132491874493,0.0089553550378265,62.19714457863834,28.472964763030348,28.37673483213486,52.2363167864531,1396.6407200025808,10.529234081679917,0.3181123238252109,2.9296875,2973.6328125,1396.484375,0.0,0.0,0.0,nominal,14.698140899040192,65.38945291384725,21.84502352018081,7.146882621140618,17.343088593176155,24.2694539750816,2.788051843629132,6.29071760292018,-7.275957614183426e-12,2980.413424864844,69.99183629069492,46.67031878065448,273.4339988440726,4.373667818787895e-05,0.0001283746717308,5.34962537003467e-05,3.9566586263050815e-05,4.922798768773907e-05,1.7023029118798914e-05,99.99417691865936,10.021805555555556,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
4.0,4.0,0.0011111111111111,engine_001,life001_mission001,calibration_bench,takeoff,4.0,1,4.972404237774694,50.0,1799.991236159347,249.99123615934693,0.0087638406530846,0,250.0,2.56631487018956,0.2735722757289265,46.45971887237399,17.969424701681874,101.26589665292153,1.2117760744746524,43.89340400218443,1.839274066748369,1.4087972163682565,42.05221639543913,0.8075092784094938,0.8035539770855611,0.8302731783992898,0.12,14.199316066206377,207.23029577449483,375.6161909828916,258.32661003226275,10.72632063751621,transient,778.0054542022207,-511.5553760565979,0.1715196995505081,0.5355001329877447,0.007978443138763,0.0123423449041533,0.8283981251233659,14.495308212449997,2981.2744448193203,75.6452620996142,131.94403998219389,343.8335054422423,55.236442972756,1.501643469417885,25.085152869696785,183.7437869834379,284.6648084267951,0.0216077316709414,1.3274575912666549,3.0933422309447787,49.67704281081054,99.35408562162108,99.35408562162108,121.99350896781326,424.4539619511027,31.12691124528392,0.0004268337918597,49.63582347896221,0.0123533419847119,0.0143938729770837,0.0090224571093881,61.96506791941015,28.40575736557008,28.53219708180812,51.39499840949079,1406.2686968724238,10.522495078795002,0.359745264554159,5.859375,2980.810546875,1406.25,0.0,0.0,0.0,nominal,14.548844667504037,64.9701814490477,21.702710144532546,7.153865477028509,17.25924229351479,24.125283289535705,2.7732066019116104,6.263604596581559,-7.275957614183426e-12,2980.6225686486323,69.53098257373141,46.439961461432254,273.56926215340485,4.84283340077457e-05,0.0001400638058957,6.029545589597568e-05,4.383170419315151e-05,5.39435021620162e-05,1.8932147007582527e-05,99.9935796016162,10.021666666666668,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
4.5,4.5,0.00125,engine_001,life001_mission001,calibration_bench,takeoff,4.5,1,5.676802845958823,50.0,1799.990364876733,249.99036487673317,0.0096351232668605,0,250.0,2.533725396114349,-0.0542187698726062,45.99030752910704,17.965064276874728,101.25752628821068,1.2116940612588436,43.456582132992686,1.848611144635408,1.401855173242366,42.06538736394549,0.8113279799692655,0.8251000457189039,0.8324712237446155,0.1382824330249946,18.01925497914084,207.1934793530684,353.0878912903644,326.1267830015824,1.0245399007020524,transient,781.1981287794749,-437.0198489476597,-0.2343190487515514,0.5306659688145093,0.0098475305244162,0.0153106133996163,0.825061823642677,17.83984960112978,2974.3749103282507,75.69281211198866,139.6996926203443,345.7314905958458,54.91536229096327,1.6902125445607297,25.109501763347858,184.68727311963903,286.1962961734629,0.0204459172682304,1.427433567312561,2.8153888952495065,49.63069812763909,99.2613962552782,99.2613962552782,121.87969884140098,424.0579805626291,31.097872342037157,0.0004280078210533,49.66053221345382,0.0121497438637457,0.0139081122782214,0.0089625899143622,62.09947398343096,28.470885044065074,28.56244436500653,50.51202339171083,1409.5491802503616,10.674297679533476,0.3725865569707197,5.859375,2974.658203125,1409.66796875,0.0,0.0,0.0,nominal,17.76677981298359,74.58179173921835,24.917772597422275,7.150992784438683,19.456478051454443,27.16929748862705,3.1248669277885246,7.0643694583647285,0.0,2977.841887658345,79.90592172450228,57.20854944924883,338.7053956607513,5.329489017564317e-05,0.0001528625335201,6.731078560042987e-05,4.82975500208348e-05,5.90419328213894e-05,2.092551546396631e-05,99.99294479922432,10.021527777777775,pristine,normal,none,none,0.0,normal,0,0,0,0,0,0,0,0,0,0,nominal
